Country,Gender,Job Seniority,Age Range,Recent Status,Social Connectivity,Count
UK,Male,Senior,35 to 54,Recently promoted,Not connected,1000
UK,Male,Senior,35 to 54,Not promoted,Connected to big companies,60700
UK,Male,Senior,35 to 54,Not promoted,Not connected,102300
UK,Male,Senior,25 to 34,Recently promoted,Connected to big companies,1100
UK,Male,Senior,25 to 34,Recently promoted,Not connected,1500
UK,Male,Senior,25 to 34,Not promoted,Connected to big companies,27100
UK,Male,Senior,25 to 34,Not promoted,Not connected,101500
UK,Male,Senior,18 to 24,Recently promoted,Not connected,570
UK,Male,Senior,18 to 24,Not promoted,Connected to big companies,2700
UK,Male,Senior,18 to 24,Not promoted,Not connected,19430
UK,Male,Entry,55+,Not promoted,Connected to big companies,3900
UK,Male,Entry,55+,Not promoted,Not connected,12500
UK,Male,Entry,35 to 54,Not promoted,Connected to big companies,21700
UK,Male,Entry,35 to 54,Not promoted,Not connected,71100
UK,Male,Entry,25 to 34,Not promoted,Connected to big companies,19400
UK,Male,Entry,25 to 34,Not promoted,Not connected,170900
UK,Male,Entry,18 to 24,Not promoted,Connected to big companies,3500
UK,Male,Entry,18 to 24,Not promoted,Not connected,49000
